trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.2, 'e': 0.8780954309205614}",25,0,-161.54415624921353,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
131,False,"{'a': 0.2, 'e': 0.8772177743910435}",25,0,-116.1572823535584,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
132,False,"{'a': 0.2, 'e': 0.8763409950793732}",20,0,-96.36181906529939,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
133,False,"{'a': 0.2, 'e': 0.8754650921087711}",25,0,-68.43825166217661,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.874590064603334}",20,11,-18.57336305762395,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.8737159116880344}",25,0,-180.1373995696152,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
136,False,"{'a': 0.2, 'e': 0.8728426324887193}",20,0,-128.62687645985756,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
137,False,"{'a': 0.2, 'e': 0.8719702261321095}",30,0,-205.74550228972242,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
138,False,"{'a': 0.2, 'e': 0.8710986917457983}",20,2,-38.16744769925858,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.2, 'e': 0.8702280284582515}",20,0,-66.98838784506547,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
140,False,"{'a': 0.2, 'e': 0.8693582353988057}",25,15,-47.53863582999574,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.2, 'e': 0.868489311697668}",20,0,-79.12483567010985,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
142,False,"{'a': 0.2, 'e': 0.867621256485914}",20,0,-114.93271103570486,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.2, 'e': 0.8667540688954889}",30,0,-194.17473541948456,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
144,False,"{'a': 0.2, 'e': 0.865887748059205}",20,0,-122.0799554208129,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
145,False,"{'a': 0.2, 'e': 0.8650222931107414}",25,0,-121.18755897771592,"{0: 16, 1: 3, 2: 1, 3: 4, 4: 1}",0
146,False,"{'a': 0.2, 'e': 0.8641577031846428}",20,0,-99.70515215068221,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
147,False,"{'a': 0.2, 'e': 0.8632939774163193}",20,0,-30.497634552394274,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
148,False,"{'a': 0.2, 'e': 0.8624311149420454}",20,0,-122.05839767327777,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
149,False,"{'a': 0.2, 'e': 0.8615691148989584}",20,0,-109.65824082822049,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
150,False,"{'a': 0.2, 'e': 0.8607079764250578}",30,2,-42.42388496108453,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 1}",1
151,False,"{'a': 0.2, 'e': 0.8598476986592054}",20,0,-131.7762283727556,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
152,False,"{'a': 0.2, 'e': 0.8589882807411234}",20,0,-89.16418857573244,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
153,False,"{'a': 0.2, 'e': 0.8581297218113939}",25,7,-81.73177357487482,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
154,False,"{'a': 0.2, 'e': 0.8572720210114574}",30,0,-162.31033336664885,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
