trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.9, 'e': 0.8780954309205614}",20,0,-103.24453351913428,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
131,False,"{'a': 0.9, 'e': 0.8772177743910435}",30,0,-112.7036670620234,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
132,False,"{'a': 0.9, 'e': 0.8763409950793732}",25,0,-62.30060745773285,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
133,False,"{'a': 0.9, 'e': 0.8754650921087711}",20,0,-62.75917631438325,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.9, 'e': 0.874590064603334}",35,0,-92.49998261718665,"{0: 23, 1: 7, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.9, 'e': 0.8737159116880344}",20,0,-114.58781062318462,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
136,False,"{'a': 0.9, 'e': 0.8728426324887193}",20,0,-47.1689189242168,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.9, 'e': 0.8719702261321095}",20,0,-95.23666644891165,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.9, 'e': 0.8710986917457983}",30,0,-64.76503496199717,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
139,False,"{'a': 0.9, 'e': 0.8702280284582515}",25,0,-103.58633667358059,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
140,False,"{'a': 0.9, 'e': 0.8693582353988057}",25,0,-140.2356256699481,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
141,False,"{'a': 0.9, 'e': 0.868489311697668}",20,0,-171.43270322749632,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
142,False,"{'a': 0.9, 'e': 0.867621256485914}",25,0,-242.3940312270587,"{0: 14, 1: 0, 2: 4, 3: 3, 4: 4}",0
143,False,"{'a': 0.9, 'e': 0.8667540688954889}",30,0,-127.14916344935757,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
144,False,"{'a': 0.9, 'e': 0.865887748059205}",30,0,-190.5435795472901,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
